# Region type : patch heater_to_fins
# Faces  :    241
# Area   :    1.550025e-04
# Time        	areaAverage(T)
287           	3.078763e+02
288           	3.078818e+02
289           	3.078872e+02
290           	3.078927e+02
291           	3.078981e+02
292           	3.079035e+02
293           	3.079088e+02
294           	3.079142e+02
295           	3.079195e+02
296           	3.079249e+02
297           	3.079302e+02
298           	3.079354e+02
299           	3.079407e+02
300           	3.079459e+02
301           	3.079512e+02
302           	3.079564e+02
303           	3.079616e+02
304           	3.079667e+02
305           	3.079719e+02
306           	3.079770e+02
307           	3.079822e+02
308           	3.079873e+02
309           	3.079924e+02
310           	3.079974e+02
311           	3.080025e+02
312           	3.080075e+02
313           	3.080125e+02
314           	3.080175e+02
315           	3.080225e+02
316           	3.080275e+02
317           	3.080324e+02
318           	3.080374e+02
319           	3.080423e+02
320           	3.080472e+02
321           	3.080521e+02
322           	3.080569e+02
323           	3.080618e+02
324           	3.080666e+02
325           	3.080715e+02
326           	3.080763e+02
327           	3.080811e+02
328           	3.080858e+02
329           	3.080906e+02
330           	3.080954e+02
331           	3.081001e+02
332           	3.081048e+02
333           	3.081095e+02
334           	3.081142e+02
335           	3.081189e+02
336           	3.081236e+02
337           	3.081282e+02
338           	3.081329e+02
339           	3.081375e+02
340           	3.081421e+02
341           	3.081467e+02
342           	3.081512e+02
343           	3.081558e+02
344           	3.081604e+02
345           	3.081649e+02
346           	3.081694e+02
347           	3.081739e+02
348           	3.081784e+02
349           	3.081829e+02
350           	3.081873e+02
351           	3.081918e+02
352           	3.081962e+02
353           	3.082006e+02
354           	3.082050e+02
355           	3.082094e+02
356           	3.082138e+02
357           	3.082182e+02
358           	3.082225e+02
359           	3.082269e+02
360           	3.082312e+02
361           	3.082355e+02
362           	3.082398e+02
363           	3.082441e+02
364           	3.082484e+02
365           	3.082526e+02
366           	3.082569e+02
367           	3.082611e+02
368           	3.082653e+02
369           	3.082695e+02
370           	3.082737e+02
371           	3.082779e+02
372           	3.082820e+02
373           	3.082862e+02
374           	3.082903e+02
375           	3.082944e+02
376           	3.082985e+02
377           	3.083026e+02
378           	3.083067e+02
379           	3.083108e+02
380           	3.083148e+02
381           	3.083189e+02
382           	3.083229e+02
383           	3.083269e+02
384           	3.083309e+02
385           	3.083349e+02
386           	3.083389e+02
387           	3.083429e+02
388           	3.083468e+02
389           	3.083507e+02
390           	3.083547e+02
391           	3.083586e+02
392           	3.083625e+02
393           	3.083664e+02
394           	3.083702e+02
395           	3.083741e+02
396           	3.083779e+02
397           	3.083818e+02
398           	3.083856e+02
399           	3.083894e+02
400           	3.083932e+02
401           	3.083969e+02
402           	3.084007e+02
403           	3.084045e+02
404           	3.084082e+02
405           	3.084119e+02
406           	3.084157e+02
407           	3.084194e+02
408           	3.084230e+02
409           	3.084267e+02
410           	3.084304e+02
411           	3.084340e+02
412           	3.084377e+02
413           	3.084413e+02
414           	3.084449e+02
415           	3.084485e+02
416           	3.084521e+02
417           	3.084557e+02
418           	3.084593e+02
419           	3.084628e+02
420           	3.084664e+02
421           	3.084699e+02
422           	3.084734e+02
423           	3.084769e+02
424           	3.084804e+02
425           	3.084839e+02
426           	3.084874e+02
427           	3.084908e+02
428           	3.084943e+02
429           	3.084977e+02
430           	3.085012e+02
431           	3.085046e+02
432           	3.085080e+02
433           	3.085114e+02
434           	3.085148e+02
435           	3.085181e+02
436           	3.085215e+02
437           	3.085248e+02
438           	3.085282e+02
439           	3.085315e+02
440           	3.085348e+02
441           	3.085381e+02
442           	3.085414e+02
443           	3.085447e+02
444           	3.085479e+02
445           	3.085512e+02
446           	3.085544e+02
447           	3.085577e+02
448           	3.085609e+02
449           	3.085641e+02
450           	3.085673e+02
451           	3.085705e+02
452           	3.085737e+02
453           	3.085768e+02
454           	3.085800e+02
455           	3.085831e+02
456           	3.085863e+02
457           	3.085894e+02
458           	3.085925e+02
459           	3.085956e+02
460           	3.085987e+02
461           	3.086018e+02
462           	3.086048e+02
463           	3.086079e+02
464           	3.086109e+02
465           	3.086140e+02
466           	3.086170e+02
467           	3.086200e+02
468           	3.086230e+02
469           	3.086260e+02
470           	3.086289e+02
471           	3.086319e+02
472           	3.086349e+02
473           	3.086378e+02
474           	3.086407e+02
475           	3.086436e+02
476           	3.086465e+02
477           	3.086494e+02
478           	3.086523e+02
479           	3.086552e+02
480           	3.086581e+02
481           	3.086609e+02
482           	3.086638e+02
483           	3.086666e+02
484           	3.086694e+02
485           	3.086722e+02
486           	3.086750e+02
487           	3.086778e+02
488           	3.086806e+02
489           	3.086834e+02
490           	3.086861e+02
491           	3.086889e+02
492           	3.086916e+02
493           	3.086943e+02
494           	3.086971e+02
495           	3.086998e+02
496           	3.087025e+02
497           	3.087052e+02
498           	3.087078e+02
499           	3.087105e+02
500           	3.087132e+02
501           	3.087158e+02
502           	3.087185e+02
503           	3.087211e+02
504           	3.087237e+02
505           	3.087263e+02
506           	3.087289e+02
507           	3.087315e+02
508           	3.087341e+02
509           	3.087367e+02
510           	3.087392e+02
511           	3.087418e+02
512           	3.087443e+02
513           	3.087469e+02
514           	3.087494e+02
515           	3.087519e+02
516           	3.087544e+02
517           	3.087569e+02
518           	3.087594e+02
519           	3.087619e+02
520           	3.087643e+02
