# Region      : all 
# Cells       : 298902
# Volume      : 2.872800e-05
# Time        	max(T)
288           	3.081582e+02
289           	3.081636e+02
290           	3.081691e+02
291           	3.081745e+02
292           	3.081799e+02
293           	3.081853e+02
294           	3.081907e+02
295           	3.081960e+02
296           	3.082013e+02
297           	3.082066e+02
298           	3.082119e+02
299           	3.082172e+02
300           	3.082224e+02
301           	3.082277e+02
302           	3.082329e+02
303           	3.082381e+02
304           	3.082433e+02
305           	3.082484e+02
306           	3.082536e+02
307           	3.082587e+02
308           	3.082638e+02
309           	3.082689e+02
310           	3.082740e+02
311           	3.082791e+02
312           	3.082841e+02
313           	3.082891e+02
314           	3.082941e+02
315           	3.082991e+02
316           	3.083041e+02
317           	3.083091e+02
318           	3.083140e+02
319           	3.083189e+02
320           	3.083238e+02
321           	3.083287e+02
322           	3.083336e+02
323           	3.083385e+02
324           	3.083433e+02
325           	3.083481e+02
326           	3.083530e+02
327           	3.083578e+02
328           	3.083626e+02
329           	3.083673e+02
330           	3.083721e+02
331           	3.083768e+02
332           	3.083816e+02
333           	3.083863e+02
334           	3.083910e+02
335           	3.083957e+02
336           	3.084003e+02
337           	3.084050e+02
338           	3.084096e+02
339           	3.084143e+02
340           	3.084189e+02
341           	3.084235e+02
342           	3.084280e+02
343           	3.084326e+02
344           	3.084372e+02
345           	3.084417e+02
346           	3.084462e+02
347           	3.084507e+02
348           	3.084552e+02
349           	3.084597e+02
350           	3.084642e+02
351           	3.084686e+02
352           	3.084731e+02
353           	3.084775e+02
354           	3.084819e+02
355           	3.084863e+02
356           	3.084907e+02
357           	3.084951e+02
358           	3.084994e+02
359           	3.085038e+02
360           	3.085081e+02
361           	3.085124e+02
362           	3.085167e+02
363           	3.085210e+02
364           	3.085253e+02
365           	3.085295e+02
366           	3.085338e+02
367           	3.085380e+02
368           	3.085422e+02
369           	3.085464e+02
370           	3.085506e+02
371           	3.085548e+02
372           	3.085590e+02
373           	3.085631e+02
374           	3.085673e+02
375           	3.085714e+02
376           	3.085755e+02
377           	3.085796e+02
378           	3.085837e+02
379           	3.085878e+02
380           	3.085918e+02
381           	3.085959e+02
382           	3.085999e+02
383           	3.086039e+02
384           	3.086079e+02
385           	3.086119e+02
386           	3.086159e+02
387           	3.086199e+02
388           	3.086238e+02
389           	3.086278e+02
390           	3.086317e+02
391           	3.086356e+02
392           	3.086395e+02
393           	3.086434e+02
394           	3.086473e+02
395           	3.086511e+02
396           	3.086550e+02
397           	3.086588e+02
398           	3.086627e+02
399           	3.086665e+02
400           	3.086703e+02
401           	3.086740e+02
402           	3.086778e+02
403           	3.086816e+02
404           	3.086853e+02
405           	3.086890e+02
406           	3.086928e+02
407           	3.086965e+02
408           	3.087002e+02
409           	3.087038e+02
410           	3.087075e+02
411           	3.087112e+02
412           	3.087148e+02
413           	3.087185e+02
414           	3.087221e+02
415           	3.087257e+02
416           	3.087293e+02
