# Region      : all 
# Cells       : 2808
# Volume      : 3.875062e-07
# Time        	max(T)
288           	3.091974e+02
289           	3.092029e+02
290           	3.092083e+02
291           	3.092137e+02
292           	3.092192e+02
293           	3.092245e+02
294           	3.092299e+02
295           	3.092353e+02
296           	3.092406e+02
297           	3.092459e+02
298           	3.092512e+02
299           	3.092565e+02
300           	3.092618e+02
301           	3.092670e+02
302           	3.092722e+02
303           	3.092774e+02
304           	3.092826e+02
305           	3.092878e+02
306           	3.092929e+02
307           	3.092981e+02
308           	3.093032e+02
309           	3.093083e+02
310           	3.093134e+02
311           	3.093185e+02
312           	3.093235e+02
313           	3.093285e+02
314           	3.093336e+02
315           	3.093386e+02
316           	3.093435e+02
317           	3.093485e+02
318           	3.093534e+02
319           	3.093584e+02
320           	3.093633e+02
321           	3.093682e+02
322           	3.093731e+02
323           	3.093779e+02
324           	3.093828e+02
325           	3.093876e+02
326           	3.093925e+02
327           	3.093973e+02
328           	3.094021e+02
329           	3.094069e+02
330           	3.094116e+02
331           	3.094164e+02
332           	3.094211e+02
333           	3.094258e+02
334           	3.094305e+02
335           	3.094352e+02
336           	3.094399e+02
337           	3.094446e+02
338           	3.094492e+02
339           	3.094538e+02
340           	3.094585e+02
341           	3.094631e+02
342           	3.094676e+02
343           	3.094722e+02
344           	3.094768e+02
345           	3.094813e+02
346           	3.094859e+02
347           	3.094904e+02
348           	3.094949e+02
349           	3.094994e+02
350           	3.095038e+02
351           	3.095083e+02
352           	3.095127e+02
353           	3.095172e+02
354           	3.095216e+02
355           	3.095260e+02
356           	3.095304e+02
357           	3.095348e+02
358           	3.095391e+02
359           	3.095435e+02
360           	3.095478e+02
361           	3.095521e+02
362           	3.095564e+02
363           	3.095607e+02
364           	3.095650e+02
365           	3.095693e+02
366           	3.095735e+02
367           	3.095778e+02
368           	3.095820e+02
369           	3.095862e+02
370           	3.095904e+02
371           	3.095946e+02
372           	3.095988e+02
373           	3.096029e+02
374           	3.096071e+02
375           	3.096112e+02
376           	3.096153e+02
377           	3.096194e+02
378           	3.096235e+02
379           	3.096276e+02
380           	3.096317e+02
381           	3.096357e+02
382           	3.096398e+02
383           	3.096438e+02
384           	3.096478e+02
385           	3.096518e+02
386           	3.096558e+02
387           	3.096598e+02
388           	3.096637e+02
389           	3.096677e+02
390           	3.096716e+02
391           	3.096755e+02
392           	3.096794e+02
393           	3.096833e+02
394           	3.096872e+02
395           	3.096911e+02
396           	3.096949e+02
397           	3.096988e+02
398           	3.097026e+02
399           	3.097064e+02
400           	3.097102e+02
401           	3.097140e+02
402           	3.097178e+02
403           	3.097216e+02
404           	3.097253e+02
405           	3.097290e+02
406           	3.097328e+02
407           	3.097365e+02
408           	3.097402e+02
409           	3.097439e+02
410           	3.097475e+02
411           	3.097512e+02
412           	3.097549e+02
413           	3.097585e+02
414           	3.097621e+02
415           	3.097657e+02
416           	3.097693e+02
417           	3.097729e+02
418           	3.097765e+02
419           	3.097801e+02
420           	3.097836e+02
421           	3.097872e+02
422           	3.097907e+02
423           	3.097942e+02
424           	3.097977e+02
425           	3.098012e+02
426           	3.098047e+02
427           	3.098081e+02
428           	3.098116e+02
429           	3.098151e+02
430           	3.098185e+02
431           	3.098219e+02
432           	3.098253e+02
433           	3.098287e+02
434           	3.098321e+02
435           	3.098355e+02
436           	3.098389e+02
437           	3.098422e+02
438           	3.098456e+02
439           	3.098489e+02
440           	3.098522e+02
441           	3.098556e+02
442           	3.098589e+02
443           	3.098621e+02
444           	3.098654e+02
445           	3.098687e+02
446           	3.098719e+02
447           	3.098752e+02
448           	3.098784e+02
449           	3.098816e+02
450           	3.098848e+02
451           	3.098880e+02
452           	3.098912e+02
453           	3.098944e+02
454           	3.098976e+02
455           	3.099007e+02
456           	3.099039e+02
457           	3.099070e+02
458           	3.099101e+02
459           	3.099132e+02
460           	3.099163e+02
461           	3.099194e+02
462           	3.099225e+02
463           	3.099255e+02
464           	3.099286e+02
465           	3.099316e+02
466           	3.099346e+02
467           	3.099377e+02
468           	3.099407e+02
469           	3.099437e+02
470           	3.099466e+02
471           	3.099496e+02
472           	3.099526e+02
473           	3.099555e+02
474           	3.099585e+02
475           	3.099614e+02
476           	3.099643e+02
477           	3.099672e+02
478           	3.099701e+02
479           	3.099730e+02
480           	3.099758e+02
481           	3.099787e+02
482           	3.099816e+02
483           	3.099844e+02
484           	3.099872e+02
485           	3.099900e+02
486           	3.099929e+02
487           	3.099957e+02
488           	3.099984e+02
489           	3.100012e+02
490           	3.100040e+02
491           	3.100067e+02
492           	3.100095e+02
493           	3.100122e+02
494           	3.100150e+02
495           	3.100177e+02
496           	3.100204e+02
497           	3.100231e+02
498           	3.100258e+02
499           	3.100284e+02
500           	3.100311e+02
501           	3.100338e+02
502           	3.100364e+02
503           	3.100391e+02
504           	3.100417e+02
505           	3.100443e+02
506           	3.100469e+02
507           	3.100495e+02
508           	3.100521e+02
509           	3.100547e+02
510           	3.100572e+02
511           	3.100598e+02
512           	3.100623e+02
513           	3.100649e+02
514           	3.100674e+02
515           	3.100699e+02
516           	3.100724e+02
517           	3.100749e+02
518           	3.100774e+02
519           	3.100799e+02
520           	3.100824e+02
521           	3.100849e+02
522           	3.100873e+02
523           	3.100898e+02
524           	3.100922e+02
525           	3.100946e+02
526           	3.100970e+02
527           	3.100994e+02
528           	3.101018e+02
529           	3.101042e+02
530           	3.101066e+02
531           	3.101090e+02
532           	3.101113e+02
533           	3.101137e+02
534           	3.101160e+02
535           	3.101184e+02
536           	3.101207e+02
537           	3.101230e+02
538           	3.101253e+02
539           	3.101276e+02
540           	3.101299e+02
541           	3.101322e+02
542           	3.101344e+02
543           	3.101367e+02
544           	3.101389e+02
545           	3.101412e+02
546           	3.101434e+02
547           	3.101457e+02
548           	3.101479e+02
549           	3.101501e+02
550           	3.101523e+02
551           	3.101545e+02
552           	3.101567e+02
553           	3.101588e+02
554           	3.101610e+02
555           	3.101632e+02
556           	3.101653e+02
557           	3.101675e+02
558           	3.101696e+02
559           	3.101717e+02
560           	3.101738e+02
561           	3.101759e+02
562           	3.101780e+02
563           	3.101801e+02
564           	3.101822e+02
565           	3.101843e+02
566           	3.101864e+02
567           	3.101884e+02
568           	3.101905e+02
569           	3.101925e+02
570           	3.101945e+02
571           	3.101966e+02
572           	3.101986e+02
573           	3.102006e+02
574           	3.102026e+02
575           	3.102046e+02
576           	3.102066e+02
577           	3.102085e+02
578           	3.102105e+02
579           	3.102125e+02
580           	3.102144e+02
581           	3.102164e+02
582           	3.102183e+02
583           	3.102202e+02
584           	3.102222e+02
585           	3.102241e+02
